dr_no,date_occ,date_rptd,time_occ,lat,lon
201305638,2020-01-28T00:00:00.000,2020-01-30T00:00:00.000,1130,34.0209,-118.2775
200305726,2019-07-13T00:00:00.000,2020-01-30T00:00:00.000,2110,34.0141,-118.3002
200305691,2020-01-29T00:00:00.000,2020-01-29T00:00:00.000,1235,34.0141,-118.3002
200305539,2020-01-26T00:00:00.000,2020-01-26T00:00:00.000,1310,34.0328,-118.2943
200305855,2020-01-30T00:00:00.000,2020-02-01T00:00:00.000,0750,34.0317,-118.2769
200305441,2020-01-24T00:00:00.000,2020-01-24T00:00:00.000,1310,34.0221,-118.2915
200305596,2020-01-26T00:00:00.000,2020-01-26T00:00:00.000,1800,34.0037,-118.2827
200305675,2020-01-28T00:00:00.000,2020-01-28T00:00:00.000,1500,34.0056,-118.2827
202011515,2020-06-23T00:00:00.000,2020-06-29T00:00:00.000,1800,34.0382,-118.3003
200316216,2020-08-22T00:00:00.000,2020-08-22T00:00:00.000,1545,34.0061,-118.3002
200304903,2020-01-16T00:00:00.000,2020-01-16T00:00:00.000,1940,34.0299,-118.2749
200308311,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,1550,34.0351,-118.2915
201313049,2020-06-28T00:00:00.000,2020-06-28T00:00:00.000,1530,34.0082,-118.2653
200313158,2020-06-23T00:00:00.000,2020-06-23T00:00:00.000,1530,34.0354,-118.3003
200312988,2020-06-12T00:00:00.000,2020-06-21T00:00:00.000,1300,34.0282,-118.276
201312799,2020-06-19T00:00:00.000,2020-06-20T00:00:00.000,1420,34.0335,-118.2737
201313017,2020-06-27T00:00:00.000,2020-06-28T00:00:00.000,2335,34.012,-118.2653
200313420,2020-06-29T00:00:00.000,2020-06-30T00:00:00.000,2105,34.0184,-118.3002
210312152,2021-06-25T00:00:00.000,2021-06-25T00:00:00.000,0820,34.0184,-118.2823
200313394,2020-06-27T00:00:00.000,2020-06-28T00:00:00.000,1100,34.0106,-118.2842
210312313,2021-06-29T00:00:00.000,2021-06-29T00:00:00.000,1540,34.0074,-118.285
201313126,2020-06-29T00:00:00.000,2020-06-30T00:00:00.000,2130,34.0203,-118.2716
200316679,2020-09-01T00:00:00.000,2020-09-01T00:00:00.000,1859,34.0243,-118.2832
200316732,2020-09-02T00:00:00.000,2020-09-02T00:00:00.000,1445,34.0328,-118.2959
201313319,2020-07-03T00:00:00.000,2020-07-03T00:00:00.000,1620,34.0082,-118.274
201313069,2020-06-29T00:00:00.000,2020-06-29T00:00:00.000,1055,34.0142,-118.2672
201313022,2020-06-26T00:00:00.000,2020-06-27T00:00:00.000,1800,34.0024,-118.274
200311364,2020-05-15T00:00:00.000,2020-05-15T00:00:00.000,1500,34.0266,-118.277
202011466,2020-06-27T00:00:00.000,2020-06-27T00:00:00.000,1415,34.04,-118.3008
201310348,2020-05-03T00:00:00.000,2020-05-03T00:00:00.000,1430,34.0234,-118.2654
200312962,2020-06-21T00:00:00.000,2020-06-21T00:00:00.000,0005,34.0037,-118.2872
210109797,2021-04-15T00:00:00.000,2021-04-18T00:00:00.000,1800,34.0349,-118.2668
200313488,2020-07-01T00:00:00.000,2020-07-01T00:00:00.000,0530,34.0251,-118.278
202011414,2020-06-17T00:00:00.000,2020-06-17T00:00:00.000,1850,34.04,-118.2883
201310940,2020-05-16T00:00:00.000,2020-05-16T00:00:00.000,1250,34.021,-118.267
200312817,2020-06-08T00:00:00.000,2020-06-08T00:00:00.000,1430,34.0121,-118.3002
200313123,2020-06-23T00:00:00.000,2020-06-24T00:00:00.000,2355,34.0365,-118.2768
210320476,2021-12-21T00:00:00.000,2021-12-21T00:00:00.000,0815,34.0276,-118.2749
200313326,2020-06-27T00:00:00.000,2020-06-27T00:00:00.000,1730,34.0255,-118.297
211309547,2021-05-11T00:00:00.000,2021-05-11T00:00:00.000,0430,34.0111,-118.2653
200304025,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,0340,34.0327,-118.3002
200307794,2020-03-03T00:00:00.000,2020-03-03T00:00:00.000,0955,34.0349,-118.2959
200307812,2020-03-02T00:00:00.000,2020-03-02T00:00:00.000,0745,34.0055,-118.29
200307883,2020-03-03T00:00:00.000,2020-03-03T00:00:00.000,1850,34.02,-118.2915
200308054,2020-03-05T00:00:00.000,2020-03-06T00:00:00.000,2129,34.0173,-118.2931
200308064,2020-03-06T00:00:00.000,2020-03-06T00:00:00.000,1500,34.0346,-118.2965
200308083,2020-03-06T00:00:00.000,2020-03-06T00:00:00.000,1600,34.0037,-118.2827
200308085,2020-02-27T00:00:00.000,2020-02-27T00:00:00.000,0530,34.0314,-118.2834
201305517,2020-01-27T00:00:00.000,2020-01-27T00:00:00.000,1900,34.0254,-118.2698
201307508,2020-03-03T00:00:00.000,2020-03-03T00:00:00.000,1809,34.0218,-118.2665
201306192,2020-02-06T00:00:00.000,2020-02-08T00:00:00.000,1915,34.0289,-118.2686
201307469,2020-03-02T00:00:00.000,2020-03-02T00:00:00.000,2115,34.0082,-118.2704
201307175,2020-02-26T00:00:00.000,2020-02-27T00:00:00.000,1700,34.0112,-118.268
210310042,2021-05-05T00:00:00.000,2021-05-05T00:00:00.000,1800,34.0075,-118.2819
221309591,2022-04-14T00:00:00.000,2022-04-14T00:00:00.000,0835,34.0223,-118.2719
202005552,2020-01-31T00:00:00.000,2020-02-01T00:00:00.000,1615,34.04,-118.2916
200313543,2020-07-01T00:00:00.000,2020-07-02T00:00:00.000,2325,34.0359,-118.2753
202005738,2020-02-06T00:00:00.000,2020-02-07T00:00:00.000,2230,34.04,-118.2916
202009953,2020-05-20T00:00:00.000,2020-05-20T00:00:00.000,0115,34.0385,-118.2959
201307766,2020-03-08T00:00:00.000,2020-03-08T00:00:00.000,0830,34.0066,-118.2709
200108619,2020-03-06T00:00:00.000,2020-03-07T00:00:00.000,1815,34.0401,-118.2668
