dr_no,crm_cd,crm_cd_desc,date_occ,lat,lon
210304945,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020-01-21T00:00:00.000,34.0037,-118.2959
211304128,510,VEHICLE - STOLEN,2020-12-31T00:00:00.000,34.0223,-118.2719
201311319,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020-05-23T00:00:00.000,34.0248,-118.2715
201313337,510,VEHICLE - STOLEN,2020-07-04T00:00:00.000,34.0218,-118.2665
201315947,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020-08-23T00:00:00.000,34.0075,-118.2775
202016065,510,VEHICLE - STOLEN,2020-10-19T00:00:00.000,34.04,-118.2877
201312730,310,BURGLARY,2020-06-23T00:00:00.000,34.0223,-118.2718
201311698,210,ROBBERY,2020-06-01T00:00:00.000,34.0075,-118.2775
202000729,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-10-18T00:00:00.000,34.0418,-118.3028
201319101,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-10-27T00:00:00.000,34.0196,-118.2679
210304087,440,THEFT PLAIN - PETTY ($950 & UNDER),2020-12-25T00:00:00.000,34.0073,-118.2916
201310569,510,VEHICLE - STOLEN,2020-05-07T00:00:00.000,34.0344,-118.272
201312478,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-06-18T00:00:00.000,34.0171,-118.2736
201319129,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),2020-10-27T00:00:00.000,34.0133,-118.2805
201310808,624,BATTERY - SIMPLE ASSAULT,2020-05-13T00:00:00.000,34.0039,-118.2717
201314682,330,BURGLARY FROM VEHICLE,2020-07-25T00:00:00.000,34.0266,-118.2676
201316047,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2020-08-21T00:00:00.000,34.0233,-118.2697
201312751,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2020-06-22T00:00:00.000,34.0073,-118.2762
201319764,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-11-10T00:00:00.000,34.024,-118.2692
202007850,480,BIKE - STOLEN,2020-03-22T00:00:00.000,34.0382,-118.2891
201320865,210,ROBBERY,2020-12-05T00:00:00.000,34.0038,-118.274
201310366,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2020-05-04T00:00:00.000,34.0057,-118.2652
201312905,762,LEWD CONDUCT,2020-06-25T00:00:00.000,34.0292,-118.2705
201321159,510,VEHICLE - STOLEN,2020-12-13T00:00:00.000,34.0075,-118.2775
201319499,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2020-11-04T00:00:00.000,34.0163,-118.2741
201315179,330,BURGLARY FROM VEHICLE,2020-08-05T00:00:00.000,34.0268,-118.2702
202005317,440,THEFT PLAIN - PETTY ($950 & UNDER),2020-01-28T00:00:00.000,34.0424,-118.3033
201312954,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-06-25T00:00:00.000,34.0302,-118.273
201313361,510,VEHICLE - STOLEN,2020-07-04T00:00:00.000,34.0075,-118.2653
201312425,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-03-10T00:00:00.000,34.0302,-118.273
201320811,330,BURGLARY FROM VEHICLE,2020-12-03T00:00:00.000,34.0062,-118.2795
201309944,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-04-25T00:00:00.000,34.0111,-118.2789
201319319,352,PICKPOCKET,2020-10-31T00:00:00.000,34.0066,-118.2653
201317801,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2020-10-01T00:00:00.000,34.0057,-118.2697
202009883,626,INTIMATE PARTNER - SIMPLE ASSAULT,2020-05-18T00:00:00.000,34.0416,-118.2924
201310923,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2020-05-15T00:00:00.000,34.0234,-118.2654
201319670,310,BURGLARY,2020-11-08T00:00:00.000,34.0038,-118.2728
201316829,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020-09-09T00:00:00.000,34.0056,-118.274
202018348,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",2020-11-22T00:00:00.000,34.0401,-118.2852
201316629,210,ROBBERY,2020-09-07T00:00:00.000,34.0285,-118.2691
201319219,648,ARSON,2020-10-29T00:00:00.000,34.0247,-118.2682
201318741,510,VEHICLE - STOLEN,2020-10-19T00:00:00.000,34.0047,-118.2776
201320059,440,THEFT PLAIN - PETTY ($950 & UNDER),2020-11-16T00:00:00.000,34.017,-118.2689
201316079,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2020-08-26T00:00:00.000,34.0314,-118.2657
201317880,354,THEFT OF IDENTITY,2020-10-03T00:00:00.000,34.0066,-118.2728
201318659,624,BATTERY - SIMPLE ASSAULT,2020-10-18T00:00:00.000,34.0106,-118.2777
201312190,662,"BUNCO, GRAND THEFT",2020-02-24T00:00:00.000,34.0289,-118.2686
